experiment_id,dataset,encoder,variant,loss,epochs_config,batch_size,lr,dropout,history_path,epochs_completed,best_map_epoch,best_map,best_map_mean_auc,best_map_mean_bacc,best_map_c1_ap,best_map_c2_ap,best_map_c3_ap,best_bacc_epoch,best_bacc_map,best_bacc_mean_auc,best_bacc_mean_bacc,best_bacc_c1_bacc,best_bacc_c2_bacc,best_bacc_c3_bacc,last_epoch,last_map,last_mean_bacc
exp001_dinov2_b_frame_frozen,endoscapes,dinov2,base,normal_bce,,,,,/group/pmc085/hlionar/outputs/cvs-domain-ssl/exp001_dinov2_b_frame_frozen/history.json,5,2,0.4833677910430394,0.8179035648759353,0.5711985207342815,0.4365992797982958,0.5244322971233006,0.4890717962075217,5,0.46862533684240454,0.8197539342006253,0.5975778753147823,0.5689965677367252,0.5952420658985244,0.6284949923090976,5,0.46862533684240454,0.5975778753147823
exp002_dinov2_b_frame_frozen_weighted,endoscapes,dinov2,base,weighted_bce,,,,,/group/pmc085/hlionar/outputs/cvs-domain-ssl/exp002_dinov2_b_frame_frozen_weighted/history.json,5,1,0.4770547483614222,0.8103711607735611,0.7157484666534012,0.42381053953487063,0.515155785008519,0.4921979205408769,5,0.46531145742354973,0.8190842531280912,0.7225815233136034,0.6934342822531799,0.7428492015362846,0.7314610861513453,5,0.46531145742354973,0.7225815233136034
exp003_dinov2_b_sages_frame_frozen,sages,dinov2,base,normal_bce,5,32,0.001,0.1,/group/pmc085/hlionar/outputs/cvs-domain-ssl/exp003_dinov2_b_sages_frame_frozen/history.json,5,4,0.4262425812895287,0.7735937335478776,0.6372824589381136,0.3334422586553433,0.5040296619089748,0.4412558233042679,4,0.4262425812895287,0.7735937335478776,0.6372824589381136,0.6271483273472054,0.6721460481171461,0.6125530013499896,5,0.41846542260074565,0.6126347178453871
exp004_dinov2_b_sages_frame_frozen_weighted,sages,dinov2,base,weighted_bce,5,32,0.001,0.1,/group/pmc085/hlionar/outputs/cvs-domain-ssl/exp004_dinov2_b_sages_frame_frozen_weighted/history.json,5,4,0.43035845232453135,0.7840536399780476,0.7101833970658404,0.32241781090791594,0.5087776489241372,0.45987989714154076,4,0.43035845232453135,0.7840536399780476,0.7101833970658404,0.6871456558520586,0.7321691998445408,0.7112353355009222,5,0.42477784239029875,0.697197316934421
exp005_dinov2_b_sages_clip_meanpool,sages,dinov2,base,normal_bce,5,8,0.001,0.1,/group/pmc085/hlionar/outputs/cvs-domain-ssl/exp005_dinov2_b_sages_clip_meanpool/history.json,5,5,0.3339420383243214,0.7210401266705665,0.5760008345118893,0.23981818656854936,0.4047991224749362,0.35720880592947857,3,0.3303058648730819,0.7241139900002702,0.6059089987709386,0.5746905518121642,0.6323848368722601,0.6106516076283917,5,0.3339420383243214,0.5760008345118893
exp006_dinov2_b_sages_clip_meanpool_weighted,sages,dinov2,base,weighted_bce,5,8,0.001,0.1,/group/pmc085/hlionar/outputs/cvs-domain-ssl/exp006_dinov2_b_sages_clip_meanpool_weighted/history.json,5,5,0.34744364776736764,0.7296451098330675,0.6565276977918494,0.2527152037429468,0.40236573398502457,0.3872500055741314,2,0.34257408482833407,0.7433638083541374,0.6816127527547615,0.6411365727685594,0.6771316096301156,0.7265700758656095,5,0.34744364776736764,0.6565276977918494
smoke_dinov2_b,endoscapes,dinov2,base,normal_bce,,,,,/group/pmc085/hlionar/outputs/cvs-domain-ssl/smoke_dinov2_b/history.json,1,,,,,,,,,,,,,,,1,nan,nan
smoke_dinov2_b_more_val,endoscapes,dinov2,base,normal_bce,,,,,/group/pmc085/hlionar/outputs/cvs-domain-ssl/smoke_dinov2_b_more_val/history.json,1,,,,,,,,,,,,,,,1,nan,nan
smoke_dinov2_b_weighted,endoscapes,dinov2,base,weighted_bce,,,,,/group/pmc085/hlionar/outputs/cvs-domain-ssl/smoke_dinov2_b_weighted/history.json,1,,,,,,,,,,,,,,,1,nan,nan
smoke_sages_clip_meanpool,sages,dinov2,base,normal_bce,1,1,0.001,0.1,/group/pmc085/hlionar/outputs/cvs-domain-ssl/smoke_sages_clip_meanpool/history.json,1,,,,,,,,,,,,,,,1,nan,nan
smoke_sages_dinov2_b_normal,sages,dinov2,base,normal_bce,1,2,0.001,0.1,/group/pmc085/hlionar/outputs/cvs-domain-ssl/smoke_sages_dinov2_b_normal/history.json,1,1,0.2033040255836056,0.5790834111422347,0.52260348583878,0.20716356107660455,0.24485930735930736,0.1578892083149049,1,0.2033040255836056,0.5790834111422347,0.52260348583878,0.5,0.5972222222222222,0.47058823529411764,1,0.2033040255836056,0.52260348583878
smoke_sages_dinov2_b_weighted,sages,dinov2,base,weighted_bce,1,2,0.001,0.1,/group/pmc085/hlionar/outputs/cvs-domain-ssl/smoke_sages_dinov2_b_weighted/history.json,1,1,0.20024674831740338,0.5740483971366325,0.5329520697167757,0.20229567034664486,0.25769230769230766,0.14075226691325762,1,0.20024674831740338,0.5740483971366325,0.5329520697167757,0.5,0.8194444444444444,0.27941176470588236,1,0.20024674831740338,0.5329520697167757
